Pos,Name,GP,Team,Stat,Statname,League,ABBR,CREST
1,Messi,30,Barcelona,29,Goals,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg
2,Ronaldo,24,Real Madrid,23,Goals,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/3/3f/Real_Madrid_Logo.svg
3,Suárez,27,Barcelona,22,Goals,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg
4,Aspas,30,Celta de Vigo,19,Goals,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg
5,Griezmann,27,Atlético de Madrid,18,Goals,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/c/c1/Atletico_Madrid_logo.svg
6,Stuani,26,Girona,17,Goals,La Liga,FCB,http://upload.wikimedia.org/wikipedia/en/9/90/For_article_Girona_FC.svg
7,Moreno,30,Valencia CF,15,Goals,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg
8,José,27,Real Sociedad,13,Goals,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/5/55/Real_Sociedad_San_Sebastián.svg
9,Gómez,29,Celta de Vigo,13,Goals,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg
10,Rodríguez,27,Getafe,12,Goals,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/d/de/Getafe_CF.svg
1,Messi,30,Barcelona,12,Assists,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg
2,Sisto,29,Celta de Vigo,9,Assists,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg
3,Benzema,25,Real Madrid,8,Assists,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/3/3f/Real_Madrid_Logo.svg
4,Guedes,26,Valencia CF,8,Assists,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg
5,Griezmann,27,Atlético de Madrid,8,Assists,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/c/c1/Atletico_Madrid_logo.svg
6,Alba,28,Barcelona,8,Assists,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg
7,Fornals,30,Villarreal,8,Assists,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/7/70/Villarreal_CF_logo.svg
8,Ángel,25,Eibar,7,Assists,La Liga,FCB,http://upload.wikimedia.org/wikipedia/en/7/75/SD_Eibar_logo.svg
9,Guardado,25,Real Betis,7,Assists,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/4/43/Real_Betis.svg
10,Vázquez,27,Real Madrid,7,Assists,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/3/3f/Real_Madrid_Logo.svg
1,Messi,30,Barcelona,76,Ch. Created,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg
2,Viera,23,Las Palmas,63,Ch. Created,La Liga,FCB,http://upload.wikimedia.org/wikipedia/en/2/20/UD_Las_Palmas_logo.svg
3,Pérez,28,Deportivo de La Coruña,61,Ch. Created,La Liga,FCB,Noneee
4,Granell,28,Girona,58,Ch. Created,La Liga,FCB,http://upload.wikimedia.org/wikipedia/en/9/90/For_article_Girona_FC.svg
5,Aspas,30,Celta de Vigo,58,Ch. Created,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg
6,Parejo,29,Valencia CF,55,Ch. Created,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg
7,Kroos,22,Real Madrid,52,Ch. Created,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/3/3f/Real_Madrid_Logo.svg
8,Banega,26,Sevilla,47,Ch. Created,La Liga,FCB,http://upload.wikimedia.org/wikipedia/en/8/86/Sevilla_cf_200px.png
9,Marcelo,24,Real Madrid,46,Ch. Created,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/3/3f/Real_Madrid_Logo.svg
10,Wass,28,Celta de Vigo,46,Ch. Created,La Liga,FCB,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg
1,Immobile,28,Lazio,27,Goals,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png
2,Icardi,27,Internazionale,24,Goals,Serie A,FCB,https://upload.wikimedia.org/wikipedia/it/7/7e/Logo_FC_Internazionale_Milano_2014.png
3,Dybala,26,Juventus,21,Goals,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/d/d2/Juventus_Turin.svg
4,Quagliarella,29,Sampdoria,18,Goals,Serie A,FCB,https://upload.wikimedia.org/wikipedia/en/f/f7/Sampdoria_badge.png
5,Mertens,31,Napoli,17,Goals,Serie A,FCB,http://upload.wikimedia.org/wikipedia/commons/2/28/S.S.C._Napoli_logo.svg
6,Higuaín,29,Juventus,15,Goals,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/d/d2/Juventus_Turin.svg
7,Dzeko,30,Roma,14,Goals,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/3/32/AS_Rom.svg
8,Falque,31,Torino,11,Goals,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/2/2e/Torino_FC_Logo.svg
9,Zapata,27,Sampdoria,10,Goals,Serie A,FCB,https://upload.wikimedia.org/wikipedia/en/f/f7/Sampdoria_badge.png
10,Ilicic,27,Atalanta,10,Goals,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg
1,Alberto,30,Lazio,11,Assists,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png
2,Gomez,26,Atalanta,9,Assists,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg
